term,devanāgarī,meaning
adho,अधो,downward
ūrdhva,ऊर्ध्व,upward
dakṣiṇa,दक्षिण,right
vāma,वाम,left
pūrva,पूर्व,front - east
paścima,पश्चिम,back -west
uttāna,उत्तान,intense stretch
prasārita,प्रसारित,spread out
parivṛtta,परिवृत्त,revolved
sama,सम,balanced
ubhaya,उभय,both
eka,एक,one
dvi,द्वि,two
tri,त्रि,three
chatur,चतुर्,four
pañcha,पञ्च,five
ṣaṭ,षट्,six
sapta,सप्त,seven
aṣṭa,अष्ट,eight
nava,नव,nine
daśa,दश,ten
dvādaśa,द्वादश,twelve
ṣoḍaśa,षोडश,sixteen
aṅga,अङ्ग,limb
āsana,आसन,posture
prāṇāyāma,प्राणायाम,breath control
dṛṣṭi,दृष्टि,gaze
sūtra,सूत्र,thread (yoga aphorism)
yama,यम,restraint
niyama,नियम,observance
prāṇa,प्राण,life force
bandha,बन्ध,lock
mudrā,मुद्रा,seal
cakra,चक्र,wheel
nāḍī,नाडी,energy channel
vinyāsa,विन्यास,flow
krama,क्रम,sequence
pada,पद,foot
pāda,पाद,foot/leg
hasta,हस्त,hand
aṅguṣṭha,अङ्गुष्ठ,big toe
jānu,जानु,knee
bhuja,भुज,arm
mukha,मुख,face
karṇa,कर्ण,ear
śīrṣa,शीर्ष,head
baddha,बद्ध,bound
mukta,मुक्त,free
supta,सुप्त,reclining
utthita,उत्थित,extended
utkaṭa,उत्कट,fierce
lola,लोल,dangling
tān,तान्,stretch
tapas,तपस्,heat
vajra,वज्र,thunderbolt
padma,पद्म,lotus
setu,सेतु,bridge
vṛkṣa,वृक्ष,tree
baka,बक,crane
krauñca,क्रौञ्च,heron
mayūra,मयूर,peacock
śalabha,शलभ,locust
bheka,भेक,frog
nakra,नक्र,crocodile
matsya,मत्स्य,fish
garuḍa,गरुड,eagle
uṣṭra,उष्ट्र,camel
hanuman,हनुमान्,monkey god
virabhadra,वीरभद्र,warrior
skanda,स्कन्द,war god
bharadvāja,भरद्वाज,sage
vasiṣṭha,वसिष्ठ,sage
matsyendra,मत्स्येन्द्र,sage
durvāsā,दुर्वासा,sage
yoga,योग,union
pratikriyāsana,प्रतिक्रियासन,counterpose
aparigraha,अपरिग्रह,non-attachment
ahiṃsā,अहिंसा,non-violence
satya,सत्य,truth
añjali mudrā,अञ्जलि मुद्रा,prayer hands
nidrā,निद्रा,sleep
annamaya kośa,अन्नमय कोश,food sheath
prāṇamaya kośa,प्राणमय कोश,energy sheath
manomaya kośa,मनोमय कोश,mind sheath
vijñānamaya kośa,विज्ञानमय कोश,wisdom sheath
ānandamaya kośa,आनन्दमय कोश,bliss sheath
ādho mukha,आधो मुख,downward-facing
kleśa,क्लेश,affliction
agni,अग्नि,fire
ājñā cakra,आज्ञा चक्र,third-eye center
anāhata cakra,अनाहत चक्र,heart center
ānanda,आनन्द,bliss
antara,अन्तर,internal
antara kumbhaka,अन्तर कुम्भक,breath retention
anuloma,अनुलोम,with grain
apāna,अपान,downward energy
apāna vāyu,अपान वायु,pelvic energy
aṣṭāvakra,अष्टावक्र,deformed sage
asteya,अस्तेय,non-stealing
ātman,आत्मन,true self
āyurveda,आयुर्वेद,life science
bāhya,बाह्य,external
bāhya kumbhaka,बाह्य कुम्भक,breath suspension
bhadra,भद्र,auspicious
bhagavad gītā,भगवद्गीता,sacred text
bhairava,भैरव,Shiva aspect
bhakti,भक्ति,devotion
bhastrikā,भस्त्रिका,bellows breath
bhaya,भय,fear
bhujaṅga,भुजङ्ग,cobra
bhujapīḍa,भुजपीड,arm pressure
brahma,ब्रह्म,creator
brahmacarya,ब्रह्मचर्य,celibacy
brahman,ब्रह्मन,ultimate reality
buddhi,बुद्धि,intellect
candra,चन्द्र,moon
dhāraṇā,धारणा,concentration
dharma,धर्म,duty
dhyāna,ध्यान,meditation
duḥkha,दुःख,suffering
ekāgratā,एकाग्रता,single focus
eka pāda,एक पाद,one foot
gomukha,गोमुख,cow face
guṇa,गुण,quality
guru,गुरु,teacher
hala,हल,plow
haṭha,हठ,forceful
iḍā,इडा,moon channel
īśvara,ईश्वर,supreme being
jālandhara bandha,जालन्धर बन्ध,chin lock
jaṭhara,जठर,belly
jñāna,ज्ञान,wisdom
kapāla,कपाल,skull
kapālabhāti,कपालभाति,skull shining
kapha,कफ,phlegm
karma,कर्म,action
karṇapīḍa,कर्णपीड,ear pressure
koṇa,कोण,angle
kriyā,क्रिया,action
kuṇḍalinī,कुण्डलिनी,coiled energy
kūrma,कूर्म,turtle
laya,लय,dissolution
mahābandha,महाबन्ध,great lock
mahāmudrā,महामुद्रा,great seal
mālā,माला,garland
maṇḍala,मण्डल,circle
maṇḍūka,मण्डूक,frog
maṇipūra cakra,मणिपूर चक्र,navel center
manas,मनस्,mind
mantra,मन्त्र,sacred sound
